Period,Net Income,Depreciation,CapEx,Working Capital Change,Owner Earnings
2024,1641000000.0,3177000000.0,-636000000.0,-1689000000.0,5871000000.0
2023,854000000.0,3554000000.0,-546000000.0,-1429000000.0,5291000000.0
2022,1320000000.0,4451000000.0,-450000000.0,-4307000000.0,9628000000.0
2021,3162000000.0,463000000.0,-301000000.0,-617000000.0,3941000000.0
2020,2490000000.0,368000000.0,-294000000.0,-1488000000.0,4052000000.0
2019,341000000.0,288000000.0,-217000000.0,-682000000.0,1094000000.0
2018,337000000.0,208000000.0,-163000000.0,-435000000.0,817000000.0
2017,-33000000.0,180000000.0,-113000000.0,63000000.0,-29000000.0
2016,-498000000.0,154000000.0,-77000000.0,-267000000.0,-154000000.0
2015,-660000000.0,178000000.0,-88000000.0,0.0,-570000000.0
