Period,Net Income,Depreciation,CapEx,Working Capital Change,Owner Earnings
2024,93736000000.0,11445000000.0,-9447000000.0,21663000000.0,74071000000.0
2023,96995000000.0,11519000000.0,-10959000000.0,-16835000000.0,114390000000.0
2022,99803000000.0,11104000000.0,-10708000000.0,27932000000.0,72267000000.0
2021,94680000000.0,11284000000.0,-11085000000.0,28966000000.0,65913000000.0
2020,57411000000.0,11056000000.0,-7309000000.0,18780000000.0,42378000000.0
2019,55256000000.0,12547000000.0,-10495000000.0,-41691000000.0,98999000000.0
2018,59531000000.0,10903000000.0,-13313000000.0,12421000000.0,44700000000.0
2017,48351000000.0,10157000000.0,-12451000000.0,32000000.0,46025000000.0
2016,45687000000.0,10505000000.0,-12734000000.0,-19095000000.0,62553000000.0
2015,53394000000.0,11257000000.0,-11247000000.0,0.0,53404000000.0
