ID,OriginAlat,OriginAlong,DestinationAlat,DestinationAlong,OriginBlat,OriginBlong,DestinationBlat,DestinationBlong,aDist,aTime,bDist,bTime,overlapDist,overlapTime
R1,5.373588,-3.998759,5.32781,-4.005012,5.373588,-3.998759,5.32781,-4.005012,5.348,13.033333333333333,5.348,13.033333333333333,5.348,13.033333333333333
R2,5.373588,-3.998759,5.32781,-4.005012,5.361826,-3.990009,5.322763,-4.00227,5.348,13.033333333333333,5.868,14.683333333333334,4.67,11.566666666666666
R3,5.373588,-3.99876,5.32781,-4.005013,5.368385,-4.006019,5.335087,-3.995491,5.348,13.05,6.116,16.183333333333334,3.857,9.266666666666667
R4,5.373588,-3.998761,5.32781,-4.005014,5.355748,-3.96982,5.333238,-4.006999,5.348,13.05,6.366,15.533333333333333,1.056,2.8
R5,5.373588,-3.998762,5.32781,-4.005015,5.392951,-3.975507,5.347369,-4.003102,5.348,13.05,10.556,24.666666666666668,0.0,0.0
R6,5.361826,-3.990009,5.322763,-4.00227,5.368385,-4.006019,5.335087,-3.995491,5.868,14.683333333333334,6.116,16.183333333333334,3.306,8.583333333333334
R7,5.355748,-3.96982,5.333238,-4.006999,5.392951,-3.975507,5.347369,-4.003102,6.366,15.533333333333333,10.556,24.666666666666668,4.559,9.35
R8,5.3532536,-4.0263832,5.3532536,-4.0263832,5.3532536,-4.0263832,5.3532536,-4.0263832,0.0,0.0,0.0,0.0,0.0,0.0
R9,5.3532536,-4.0263832,5.3532536,-4.0263832,5.3532536,-4.0263832,5.2881775,-3.9706876,0.0,0.0,15.179,20.566666666666666,0.0,0.0
R10,,,5.3532536,-4.0263832,5.3532536,-4.0263832,5.2881775,-3.9706876,,,,,,
R11,5.3532536,-4.0263832,,,5.3532536,-4.0263832,5.2881775,-3.9706876,,,,,,
R12,5.3532536,-4.0263832,,,5.3532536,-4.0263832,5.2881775,-3.9706876,,,,,,
R13,5.3532536,-4.0263832,5.3532536,-4.0263832,5.3532536,-4.0263832,5.3532536,-4.0263832,0.0,0.0,0.0,0.0,0.0,0.0
R14,999.0,-4.0263832,5.3532536,-4.0263832,5.3532536,-4.0263832,5.2881775,-3.9706876,,,,,,
