year,region,msw_frac,property,value,unit
2006,CN,msw_food,def,0.591,kg/kg
2006,JP,msw_food,def,0.26,kg/kg
2006,MN,msw_food,def,0.708,kg/kg
2006,KR,msw_food,def,0.052,kg/kg
2006,ID,msw_food,def,0.74,kg/kg
2006,LA,msw_food,def,0.543,kg/kg
2006,MY,msw_food,def,0.324,kg/kg
2006,MM,msw_food,def,0.8,kg/kg
2006,PH,msw_food,def,0.416,kg/kg
2006,SG,msw_food,def,0.101,kg/kg
2006,TH,msw_food,def,0.486,kg/kg
2006,VN,msw_food,def,0.427,kg/kg
2006,BD,msw_food,def,0.549,kg/kg
2006,IN,msw_food,def,0.53,kg/kg
2006,NP,msw_food,def,0.8,kg/kg
2006,LK,msw_food,def,0.764,kg/kg
2006,CY,msw_food,def,0.342,kg/kg
2006,JO,msw_food,def,0.52,kg/kg
2006,OM,msw_food,def,0.082,kg/kg
2006,SA,msw_food,def,0.48,kg/kg
2006,PS,msw_food,def,0.566,kg/kg
2006,TR,msw_food,def,0.487,kg/kg
2006,AE,msw_food,def,0.354,kg/kg
2006,TN,msw_food,def,0.644,kg/kg
2006,KE,msw_food,def,0.644,kg/kg
2006,MU,msw_food,def,0.294,kg/kg
2006,TZ,msw_food,def,0.571,kg/kg
2006,ZM,msw_food,def,0.39,kg/kg
2006,ZW,msw_food,def,0.32,kg/kg
2006,CM,msw_food,def,0.284,kg/kg
2006,ZA,msw_food,def,0.24,kg/kg
2006,GH,msw_food,def,0.73,kg/kg
2006,ML,msw_food,def,0.25,kg/kg
2006,NG,msw_food,def,0.636,kg/kg
2006,BG,msw_food,def,0.187,kg/kg
2006,CZ,msw_food,def,0.35,kg/kg
2006,HU,msw_food,def,0.29,kg/kg
2006,PL,msw_food,def,0.359,kg/kg
2006,RO,msw_food,def,0.435,kg/kg
2006,RU,msw_food,def,0.302,kg/kg
2006,DK,msw_food,def,0.41,kg/kg
2006,EE,msw_food,def,0.26,kg/kg
2006,FI,msw_food,def,0.351,kg/kg
2006,IS,msw_food,def,0.412,kg/kg
2006,IE,msw_food,def,0.17,kg/kg
2006,LV,msw_food,def,0.0,kg/kg
2006,LT,msw_food,def,0.255,kg/kg
2006,SE,msw_food,def,0.43,kg/kg
2006,GB,msw_food,def,0.213,kg/kg
2006,HR,msw_food,def,0.309,kg/kg
2006,GR,msw_food,def,0.431,kg/kg
2006,IT,msw_food,def,0.126,kg/kg
2006,PT,msw_food,def,0.318,kg/kg
2006,RS,msw_food,def,0.443,kg/kg
2006,SI,msw_food,def,0.318,kg/kg
2006,ES,msw_food,def,0.562,kg/kg
2006,FR,msw_food,def,0.188,kg/kg
2006,DE,msw_food,def,0.632,kg/kg
2006,LU,msw_food,def,0.455,kg/kg
2006,NL,msw_food,def,0.35,kg/kg
2006,CH,msw_food,def,0.315,kg/kg
2006,JM,msw_food,def,0.62,kg/kg
2006,MX,msw_food,def,0.514,kg/kg
2006,NI,msw_food,def,0.748,kg/kg
2006,AR,msw_food,def,0.388,kg/kg
2006,BR,msw_food,def,0.535,kg/kg
2006,PE,msw_food,def,0.7,kg/kg
2006,CA,msw_food,def,0.188,kg/kg
2006,US,msw_food,def,0.216,kg/kg
2006,AU,msw_food,def,0.35,kg/kg
2006,NZ,msw_food,def,0.168,kg/kg
2006,TJ,msw_garden,def,0.0,kg/kg
2006,HK,msw_garden,def,0.0,kg/kg
2006,MO,msw_garden,def,0.0,kg/kg
2006,JP,msw_garden,def,0.0,kg/kg
2006,KR,msw_garden,def,0.0,kg/kg
2006,BN,msw_garden,def,0.0,kg/kg
2006,ID,msw_garden,def,0.0,kg/kg
2006,LA,msw_garden,def,0.0,kg/kg
2006,MY,msw_garden,def,0.0,kg/kg
2006,MM,msw_garden,def,0.041,kg/kg
2006,PH,msw_garden,def,0.0,kg/kg
2006,SG,msw_garden,def,0.05,kg/kg
2006,TH,msw_garden,def,0.0,kg/kg
2006,BD,msw_garden,def,0.0,kg/kg
2006,IR,msw_garden,def,0.0,kg/kg
2006,NP,msw_garden,def,0.0,kg/kg
2006,AM,msw_garden,def,0.131,kg/kg
2006,GE,msw_garden,def,0.0,kg/kg
2006,KW,msw_garden,def,0.061,kg/kg
