year,region,exposure_condition,compressive_strength,property,value,unit
2006,US,Coated,16-23 Mpa,def,3.5,mm/year
2006,US,uncoated,24-35 Mpa,def,3.8,mm/year
2006,US,Coated,24-35 Mpa,def,1.9,mm/year
2006,US,uncoated,>35MPa,def,2.5,mm/year
2006,World,Exposed outdoor,<=15 MPa,def,5,mm/year
2006,World,Sheltered,<=15 MPa,def,10,mm/year
2006,World,Indoors,<=15 MPa,def,15,mm/year
2006,World,Wet,<=15 MPa,def,2,mm/year
2006,World,Buried,<=15 MPa,def,3,mm/year
2006,World,Exposed outdoor,16-23 Mpa,def,2.5,mm/year
2006,World,Sheltered,16-23 Mpa,def,6,mm/year
2006,World,Indoors,16-23 Mpa,def,9,mm/year
2006,World,Wet,16-23 Mpa,def,1,mm/year
2006,World,Buried,16-23 Mpa,def,1.5,mm/year
2006,World,Exposed outdoor,24-35 Mpa,def,1.5,mm/year
2006,World,Sheltered,24-35 Mpa,def,4,mm/year
2006,World,Indoors,24-35 Mpa,def,6,mm/year
2006,World,Wet,24-35 Mpa,def,0.75,mm/year
2006,World,Buried,24-35 Mpa,def,1,mm/year
2006,World,Exposed outdoor,>35MPa,def,1,mm/year
2006,World,Sheltered,>35MPa,def,2.5,mm/year
2006,World,Indoors,>35MPa,def,3.5,mm/year
2006,World,Wet,>35MPa,def,0.5,mm/year
2006,World,Buried,>35MPa,def,0.75,mm/year
2006,World,uncoated,<=15 MPa,def,7.1,mm/year
2006,World,uncoated,16-23 Mpa,def,6.9,mm/year
2006,World,Coated,16-23 Mpa,def,3.5,mm/year
2006,World,uncoated,24-35 Mpa,def,3.8,mm/year
2006,World,Coated,24-35 Mpa,def,1.9,mm/year
2006,World,uncoated,>35MPa,def,2.5,mm/year
2006,EUR,Exposed outdoor,<=15 MPa,min,0,mm/year
2006,EUR,Exposed outdoor,<=15 MPa,abs_min,0,mm/year
2006,EUR,Exposed outdoor,<=15 MPa,max,inf,mm/year
2006,EUR,Exposed outdoor,<=15 MPa,abs_max,inf,mm/year
2006,EUR,Sheltered,<=15 MPa,min,0,mm/year
2006,EUR,Sheltered,<=15 MPa,abs_min,0,mm/year
2006,EUR,Sheltered,<=15 MPa,max,inf,mm/year
2006,EUR,Sheltered,<=15 MPa,abs_max,inf,mm/year
2006,EUR,Indoors,<=15 MPa,min,0,mm/year
2006,EUR,Indoors,<=15 MPa,abs_min,0,mm/year
2006,EUR,Indoors,<=15 MPa,max,inf,mm/year
2006,EUR,Indoors,<=15 MPa,abs_max,inf,mm/year
2006,EUR,Wet,<=15 MPa,min,0,mm/year
2006,EUR,Wet,<=15 MPa,abs_min,0,mm/year
2006,EUR,Wet,<=15 MPa,max,inf,mm/year
2006,EUR,Wet,<=15 MPa,abs_max,inf,mm/year
2006,EUR,Buried,<=15 MPa,min,0,mm/year
2006,EUR,Buried,<=15 MPa,abs_min,0,mm/year
2006,EUR,Buried,<=15 MPa,max,inf,mm/year
2006,EUR,Buried,<=15 MPa,abs_max,inf,mm/year
2006,EUR,Exposed outdoor,16-23 Mpa,min,0,mm/year
2006,EUR,Exposed outdoor,16-23 Mpa,abs_min,0,mm/year
2006,EUR,Exposed outdoor,16-23 Mpa,max,inf,mm/year
2006,EUR,Exposed outdoor,16-23 Mpa,abs_max,inf,mm/year
2006,EUR,Sheltered,16-23 Mpa,min,0,mm/year
2006,EUR,Sheltered,16-23 Mpa,abs_min,0,mm/year
2006,EUR,Sheltered,16-23 Mpa,max,inf,mm/year
2006,EUR,Sheltered,16-23 Mpa,abs_max,inf,mm/year
2006,EUR,Indoors,16-23 Mpa,min,0,mm/year
2006,EUR,Indoors,16-23 Mpa,abs_min,0,mm/year
2006,EUR,Indoors,16-23 Mpa,max,inf,mm/year
2006,EUR,Indoors,16-23 Mpa,abs_max,inf,mm/year
2006,EUR,Wet,16-23 Mpa,min,0,mm/year
2006,EUR,Wet,16-23 Mpa,abs_min,0,mm/year
2006,EUR,Wet,16-23 Mpa,max,inf,mm/year
2006,EUR,Wet,16-23 Mpa,abs_max,inf,mm/year
2006,EUR,Buried,16-23 Mpa,min,0,mm/year
2006,EUR,Buried,16-23 Mpa,abs_min,0,mm/year
2006,EUR,Buried,16-23 Mpa,max,inf,mm/year
2006,EUR,Buried,16-23 Mpa,abs_max,inf,mm/year
2006,EUR,Exposed outdoor,24-35 Mpa,min,0,mm/year
2006,EUR,Exposed outdoor,24-35 Mpa,abs_min,0,mm/year
2006,EUR,Exposed outdoor,24-35 Mpa,max,inf,mm/year
2006,EUR,Exposed outdoor,24-35 Mpa,abs_max,inf,mm/year
2006,EUR,Sheltered,24-35 Mpa,min,0,mm/year
2006,EUR,Sheltered,24-35 Mpa,abs_min,0,mm/year
2006,EUR,Sheltered,24-35 Mpa,max,inf,mm/year
2006,EUR,Sheltered,24-35 Mpa,abs_max,inf,mm/year
2006,EUR,Indoors,24-35 Mpa,min,0,mm/year
2006,EUR,Indoors,24-35 Mpa,abs_min,0,mm/year
2006,EUR,Indoors,24-35 Mpa,max,inf,mm/year
2006,EUR,Indoors,24-35 Mpa,abs_max,inf,mm/year
2006,EUR,Wet,24-35 Mpa,min,0,mm/year
2006,EUR,Wet,24-35 Mpa,abs_min,0,mm/year
2006,EUR,Wet,24-35 Mpa,max,inf,mm/year
2006,EUR,Wet,24-35 Mpa,abs_max,inf,mm/year
2006,EUR,Buried,24-35 Mpa,min,0,mm/year
2006,EUR,Buried,24-35 Mpa,abs_min,0,mm/year
2006,EUR,Buried,24-35 Mpa,max,inf,mm/year
2006,EUR,Buried,24-35 Mpa,abs_max,inf,mm/year
2006,EUR,Exposed outdoor,>35MPa,min,0,mm/year
2006,EUR,Exposed outdoor,>35MPa,abs_min,0,mm/year
2006,EUR,Exposed outdoor,>35MPa,max,inf,mm/year
2006,EUR,Exposed outdoor,>35MPa,abs_max,inf,mm/year
2006,EUR,Sheltered,>35MPa,min,0,mm/year
2006,EUR,Sheltered,>35MPa,abs_min,0,mm/year
2006,EUR,Sheltered,>35MPa,max,inf,mm/year
2006,EUR,Sheltered,>35MPa,abs_max,inf,mm/year
2006,EUR,Indoors,>35MPa,min,0,mm/year
2006,EUR,Indoors,>35MPa,abs_min,0,mm/year
2006,EUR,Indoors,>35MPa,max,inf,mm/year
2006,EUR,Indoors,>35MPa,abs_max,inf,mm/year
2006,EUR,Wet,>35MPa,min,0,mm/year
2006,EUR,Wet,>35MPa,abs_min,0,mm/year
2006,EUR,Wet,>35MPa,max,inf,mm/year
2006,EUR,Wet,>35MPa,abs_max,inf,mm/year
2006,EUR,Buried,>35MPa,min,0,mm/year
2006,EUR,Buried,>35MPa,abs_min,0,mm/year
2006,EUR,Buried,>35MPa,max,inf,mm/year
2006,EUR,Buried,>35MPa,abs_max,inf,mm/year
2006,CN,Exposed outdoor,<=15 MPa,min,0,mm/year
2006,CN,Exposed outdoor,<=15 MPa,abs_min,0,mm/year
2006,CN,Exposed outdoor,<=15 MPa,max,inf,mm/year
2006,CN,Exposed outdoor,<=15 MPa,abs_max,inf,mm/year
2006,CN,Sheltered,<=15 MPa,min,0,mm/year
2006,CN,Sheltered,<=15 MPa,abs_min,0,mm/year
2006,CN,Sheltered,<=15 MPa,max,inf,mm/year
2006,CN,Sheltered,<=15 MPa,abs_max,inf,mm/year
2006,CN,Indoors,<=15 MPa,min,0,mm/year
2006,CN,Indoors,<=15 MPa,abs_min,0,mm/year
2006,CN,Indoors,<=15 MPa,max,inf,mm/year
2006,CN,Indoors,<=15 MPa,abs_max,inf,mm/year
2006,CN,Buried,<=15 MPa,min,0,mm/year
2006,CN,Buried,<=15 MPa,abs_min,0,mm/year
2006,CN,Buried,<=15 MPa,max,inf,mm/year
2006,CN,Buried,<=15 MPa,abs_max,inf,mm/year
2006,CN,Wet,<=15 MPa,min,0,mm/year
2006,CN,Wet,<=15 MPa,abs_min,0,mm/year
2006,CN,Wet,<=15 MPa,max,inf,mm/year
2006,CN,Wet,<=15 MPa,abs_max,inf,mm/year
2006,CN,Exposed outdoor,16-23 Mpa,min,0,mm/year
2006,CN,Exposed outdoor,16-23 Mpa,abs_min,0,mm/year
2006,CN,Exposed outdoor,16-23 Mpa,max,inf,mm/year
2006,CN,Exposed outdoor,16-23 Mpa,abs_max,inf,mm/year
2006,CN,Sheltered,16-23 Mpa,min,0,mm/year
2006,CN,Sheltered,16-23 Mpa,abs_min,0,mm/year
2006,CN,Sheltered,16-23 Mpa,max,inf,mm/year
2006,CN,Sheltered,16-23 Mpa,abs_max,inf,mm/year
2006,CN,Indoors,16-23 Mpa,min,0,mm/year
2006,CN,Indoors,16-23 Mpa,abs_min,0,mm/year
2006,CN,Indoors,16-23 Mpa,max,inf,mm/year
2006,CN,Indoors,16-23 Mpa,abs_max,inf,mm/year
2006,CN,Buried,16-23 Mpa,min,0,mm/year
2006,CN,Buried,16-23 Mpa,abs_min,0,mm/year
2006,CN,Buried,16-23 Mpa,max,inf,mm/year
2006,CN,Buried,16-23 Mpa,abs_max,inf,mm/year
2006,CN,Wet,16-23 Mpa,min,0,mm/year
2006,CN,Wet,16-23 Mpa,abs_min,0,mm/year
2006,CN,Wet,16-23 Mpa,max,inf,mm/year
2006,CN,Wet,16-23 Mpa,abs_max,inf,mm/year
2006,CN,Exposed outdoor,24-35 Mpa,min,0,mm/year
2006,CN,Exposed outdoor,24-35 Mpa,abs_min,0,mm/year
2006,CN,Exposed outdoor,24-35 Mpa,max,inf,mm/year
2006,CN,Exposed outdoor,24-35 Mpa,abs_max,inf,mm/year
2006,CN,Sheltered,24-35 Mpa,min,0,mm/year
2006,CN,Sheltered,24-35 Mpa,abs_min,0,mm/year
2006,CN,Sheltered,24-35 Mpa,max,inf,mm/year
2006,CN,Sheltered,24-35 Mpa,abs_max,inf,mm/year
2006,CN,Indoors,24-35 Mpa,min,0,mm/year
2006,CN,Indoors,24-35 Mpa,abs_min,0,mm/year
2006,CN,Indoors,24-35 Mpa,max,inf,mm/year
2006,CN,Indoors,24-35 Mpa,abs_max,inf,mm/year
2006,CN,Buried,24-35 Mpa,min,0,mm/year
2006,CN,Buried,24-35 Mpa,abs_min,0,mm/year
2006,CN,Buried,24-35 Mpa,max,inf,mm/year
2006,CN,Buried,24-35 Mpa,abs_max,inf,mm/year
2006,CN,Wet,24-35 Mpa,min,0,mm/year
2006,CN,Wet,24-35 Mpa,abs_min,0,mm/year
2006,CN,Wet,24-35 Mpa,max,inf,mm/year
2006,CN,Wet,24-35 Mpa,abs_max,inf,mm/year
2006,CN,Exposed outdoor,>35MPa,min,0,mm/year
2006,CN,Exposed outdoor,>35MPa,abs_min,0,mm/year
2006,CN,Exposed outdoor,>35MPa,max,inf,mm/year
2006,CN,Exposed outdoor,>35MPa,abs_max,inf,mm/year
2006,CN,Sheltered,>35MPa,min,0,mm/year
2006,CN,Sheltered,>35MPa,abs_min,0,mm/year
2006,CN,Sheltered,>35MPa,max,inf,mm/year
2006,CN,Sheltered,>35MPa,abs_max,inf,mm/year
2006,CN,Indoors,>35MPa,min,0,mm/year
2006,CN,Indoors,>35MPa,abs_min,0,mm/year
2006,CN,Indoors,>35MPa,max,inf,mm/year
2006,CN,Indoors,>35MPa,abs_max,inf,mm/year
2006,CN,Buried,>35MPa,min,0,mm/year
2006,CN,Buried,>35MPa,abs_min,0,mm/year
2006,CN,Buried,>35MPa,max,inf,mm/year
2006,CN,Buried,>35MPa,abs_max,inf,mm/year
2006,CN,Wet,>35MPa,min,0,mm/year
2006,CN,Wet,>35MPa,abs_min,0,mm/year
2006,CN,Wet,>35MPa,max,inf,mm/year
2006,CN,Wet,>35MPa,abs_max,inf,mm/year
2006,US,uncoated,<=15 MPa,min,0,mm/year
2006,US,uncoated,<=15 MPa,abs_min,0,mm/year
2006,US,uncoated,<=15 MPa,max,inf,mm/year
2006,US,uncoated,<=15 MPa,abs_max,inf,mm/year
2006,US,uncoated,16-23 Mpa,min,0,mm/year
2006,US,uncoated,16-23 Mpa,abs_min,0,mm/year
2006,US,uncoated,16-23 Mpa,max,inf,mm/year
2006,US,uncoated,16-23 Mpa,abs_max,inf,mm/year
2006,US,Coated,16-23 Mpa,min,0,mm/year
2006,US,Coated,16-23 Mpa,abs_min,0,mm/year
2006,US,Coated,16-23 Mpa,max,inf,mm/year
2006,US,Coated,16-23 Mpa,abs_max,inf,mm/year
2006,US,uncoated,24-35 Mpa,min,0,mm/year
2006,US,uncoated,24-35 Mpa,abs_min,0,mm/year
2006,US,uncoated,24-35 Mpa,max,inf,mm/year
2006,US,uncoated,24-35 Mpa,abs_max,inf,mm/year
2006,US,Coated,24-35 Mpa,min,0,mm/year
2006,US,Coated,24-35 Mpa,abs_min,0,mm/year
2006,US,Coated,24-35 Mpa,max,inf,mm/year
2006,US,Coated,24-35 Mpa,abs_max,inf,mm/year
2006,US,uncoated,>35MPa,min,0,mm/year
2006,US,uncoated,>35MPa,abs_min,0,mm/year
2006,US,uncoated,>35MPa,max,inf,mm/year
2006,US,uncoated,>35MPa,abs_max,inf,mm/year
2006,World,Exposed outdoor,<=15 MPa,min,0,mm/year
2006,World,Exposed outdoor,<=15 MPa,abs_min,0,mm/year
2006,World,Exposed outdoor,<=15 MPa,max,inf,mm/year
2006,World,Exposed outdoor,<=15 MPa,abs_max,inf,mm/year
2006,World,Sheltered,<=15 MPa,min,0,mm/year
2006,World,Sheltered,<=15 MPa,abs_min,0,mm/year
2006,World,Sheltered,<=15 MPa,max,inf,mm/year
2006,World,Sheltered,<=15 MPa,abs_max,inf,mm/year
2006,World,Indoors,<=15 MPa,min,0,mm/year
2006,World,Indoors,<=15 MPa,abs_min,0,mm/year
2006,World,Indoors,<=15 MPa,max,inf,mm/year
2006,World,Indoors,<=15 MPa,abs_max,inf,mm/year
2006,World,Wet,<=15 MPa,min,0,mm/year
2006,World,Wet,<=15 MPa,abs_min,0,mm/year
2006,World,Wet,<=15 MPa,max,inf,mm/year
2006,World,Wet,<=15 MPa,abs_max,inf,mm/year
2006,World,Buried,<=15 MPa,min,0,mm/year
2006,World,Buried,<=15 MPa,abs_min,0,mm/year
2006,World,Buried,<=15 MPa,max,inf,mm/year
2006,World,Buried,<=15 MPa,abs_max,inf,mm/year
2006,World,Exposed outdoor,16-23 Mpa,min,0,mm/year
2006,World,Exposed outdoor,16-23 Mpa,abs_min,0,mm/year
2006,World,Exposed outdoor,16-23 Mpa,max,inf,mm/year
2006,World,Exposed outdoor,16-23 Mpa,abs_max,inf,mm/year
2006,World,Sheltered,16-23 Mpa,min,0,mm/year
2006,World,Sheltered,16-23 Mpa,abs_min,0,mm/year
2006,World,Sheltered,16-23 Mpa,max,inf,mm/year
2006,World,Sheltered,16-23 Mpa,abs_max,inf,mm/year
2006,World,Indoors,16-23 Mpa,min,0,mm/year
2006,World,Indoors,16-23 Mpa,abs_min,0,mm/year
2006,World,Indoors,16-23 Mpa,max,inf,mm/year
2006,World,Indoors,16-23 Mpa,abs_max,inf,mm/year
2006,World,Wet,16-23 Mpa,min,0,mm/year
2006,World,Wet,16-23 Mpa,abs_min,0,mm/year
2006,World,Wet,16-23 Mpa,max,inf,mm/year
2006,World,Wet,16-23 Mpa,abs_max,inf,mm/year
2006,World,Buried,16-23 Mpa,min,0,mm/year
2006,World,Buried,16-23 Mpa,abs_min,0,mm/year
2006,World,Buried,16-23 Mpa,max,inf,mm/year
2006,World,Buried,16-23 Mpa,abs_max,inf,mm/year
2006,World,Exposed outdoor,24-35 Mpa,min,0,mm/year
2006,World,Exposed outdoor,24-35 Mpa,abs_min,0,mm/year
2006,World,Exposed outdoor,24-35 Mpa,max,inf,mm/year
2006,World,Exposed outdoor,24-35 Mpa,abs_max,inf,mm/year
2006,World,Sheltered,24-35 Mpa,min,0,mm/year
2006,World,Sheltered,24-35 Mpa,abs_min,0,mm/year
2006,World,Sheltered,24-35 Mpa,max,inf,mm/year
2006,World,Sheltered,24-35 Mpa,abs_max,inf,mm/year
2006,World,Indoors,24-35 Mpa,min,0,mm/year
2006,World,Indoors,24-35 Mpa,abs_min,0,mm/year
2006,World,Indoors,24-35 Mpa,max,inf,mm/year
2006,World,Indoors,24-35 Mpa,abs_max,inf,mm/year
2006,World,Wet,24-35 Mpa,min,0,mm/year
2006,World,Wet,24-35 Mpa,abs_min,0,mm/year
2006,World,Wet,24-35 Mpa,max,inf,mm/year
2006,World,Wet,24-35 Mpa,abs_max,inf,mm/year
2006,World,Buried,24-35 Mpa,min,0,mm/year
2006,World,Buried,24-35 Mpa,abs_min,0,mm/year
2006,World,Buried,24-35 Mpa,max,inf,mm/year
2006,World,Buried,24-35 Mpa,abs_max,inf,mm/year
2006,World,Exposed outdoor,>35MPa,min,0,mm/year
2006,World,Exposed outdoor,>35MPa,abs_min,0,mm/year
2006,World,Exposed outdoor,>35MPa,max,inf,mm/year
2006,World,Exposed outdoor,>35MPa,abs_max,inf,mm/year
2006,World,Sheltered,>35MPa,min,0,mm/year
2006,World,Sheltered,>35MPa,abs_min,0,mm/year
2006,World,Sheltered,>35MPa,max,inf,mm/year
2006,World,Sheltered,>35MPa,abs_max,inf,mm/year
2006,World,Indoors,>35MPa,min,0,mm/year
2006,World,Indoors,>35MPa,abs_min,0,mm/year
2006,World,Indoors,>35MPa,max,inf,mm/year
2006,World,Indoors,>35MPa,abs_max,inf,mm/year
2006,World,Wet,>35MPa,min,0,mm/year
2006,World,Wet,>35MPa,abs_min,0,mm/year
2006,World,Wet,>35MPa,max,inf,mm/year
2006,World,Wet,>35MPa,abs_max,inf,mm/year
2006,World,Buried,>35MPa,min,0,mm/year
2006,World,Buried,>35MPa,abs_min,0,mm/year
2006,World,Buried,>35MPa,max,inf,mm/year
2006,World,Buried,>35MPa,abs_max,inf,mm/year
2006,World,uncoated,<=15 MPa,min,0,mm/year
2006,World,uncoated,<=15 MPa,abs_min,0,mm/year
2006,World,uncoated,<=15 MPa,max,inf,mm/year
2006,World,uncoated,<=15 MPa,abs_max,inf,mm/year
2006,World,uncoated,16-23 Mpa,min,0,mm/year
2006,World,uncoated,16-23 Mpa,abs_min,0,mm/year
2006,World,uncoated,16-23 Mpa,max,inf,mm/year
2006,World,uncoated,16-23 Mpa,abs_max,inf,mm/year
2006,World,Coated,16-23 Mpa,min,0,mm/year
2006,World,Coated,16-23 Mpa,abs_min,0,mm/year
2006,World,Coated,16-23 Mpa,max,inf,mm/year
2006,World,Coated,16-23 Mpa,abs_max,inf,mm/year
2006,World,uncoated,24-35 Mpa,min,0,mm/year
2006,World,uncoated,24-35 Mpa,abs_min,0,mm/year
2006,World,uncoated,24-35 Mpa,max,inf,mm/year
2006,World,uncoated,24-35 Mpa,abs_max,inf,mm/year
2006,World,Coated,24-35 Mpa,min,0,mm/year
2006,World,Coated,24-35 Mpa,abs_min,0,mm/year
2006,World,Coated,24-35 Mpa,max,inf,mm/year
2006,World,Coated,24-35 Mpa,abs_max,inf,mm/year
2006,World,uncoated,>35MPa,min,0,mm/year
2006,World,uncoated,>35MPa,abs_min,0,mm/year
2006,World,uncoated,>35MPa,max,inf,mm/year
2006,World,uncoated,>35MPa,abs_max,inf,mm/year
